State,State_Code_Unemployement,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,AL,4.6,5.1,5.9,6,5.7,4.5,4,4,5.7,11,10.5,9.6,8,7.2,6.8,6.1,5.8,4.4,3.9,3.2,6.4,3.4,2.6,2.2
Alaska,AK,6.4,6.4,7.3,7.8,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,7.1,7,6.9,6.5,6.9,7,6.6,5.6,8.3,6.4,4,3.6
Arizona,AZ,4,4.8,6.1,5.7,5,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8,4.8,7.8,5.1,3.8,3.4
Arkansas,AR,4.3,5,5.5,5.9,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6,5,4,3.7,3.7,3.5,6.2,4.1,3.3,2.7
California,CA,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2,4.1,10.1,7.3,4.2,4.5
Colorado,CO,2.8,3.8,5.5,6,5.5,5,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5,3.9,3.2,2.7,3.3,2.7,6.8,5.4,3,2.8
Connecticut,CT,2.4,3.1,4.3,5.4,5,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1,3.6,7.9,6.3,4.2,3.7
Delaware,DE,3.7,3.5,4,4.3,4,4.1,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,4.5,3.8,3.6,7.5,5.5,4.5,4.2
Florida,FL,3.7,4.7,5.6,5.2,4.6,3.7,3.2,4,6.3,10.4,11.1,10,8.5,7.2,6.3,5.5,4.8,4.2,3.6,3.2,8.1,4.6,2.9,2.6
Georgia,GA,3.6,4,5,4.8,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6,5.4,4.7,3.9,3.6,6.5,3.9,3,3.2
Hawaii,HI,4.2,4.5,4.2,4.1,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6,4.9,4.4,3.6,3,2.4,2.4,2.5,11.7,6,3.5,3.1
Idaho,ID,4.7,5.1,5.6,5.6,4.9,4,3.5,3.1,5.1,8.8,9,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8,2.9,5.5,3.7,2.7,2.6
Illinois,IL,4.3,5.3,6.5,6.8,6.2,5.7,4.5,5,6.3,10.2,10.4,9.7,9,9,7.1,6,5.8,4.9,4.3,4,9.3,6.1,4.6,4.1
Indiana,IN,3.1,4.2,5.2,5.3,5.4,5.5,5,4.6,5.9,10.3,10.4,9.1,8.3,7.7,6,4.8,4.4,3.6,3.4,3.3,7.3,3.9,3,3.1
Iowa,IA,2.6,3.3,4,4.5,4.5,4.3,3.7,3.7,4.2,6.4,6,5.5,5,4.7,4.2,3.8,3.6,3.1,2.5,2.7,5.2,3.8,2.7,2.7
Kansas,KS,3.6,4.2,5.1,5.5,5.5,5,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4,3.7,3.4,3.3,5.8,3.3,2.7,2.9
Kentucky,KY,4.2,5.2,5.7,6.1,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8,6.5,5.3,5.1,4.9,4.3,4.1,6.5,4.4,3.9,3.8
Louisiana,LA,5.3,5.7,6.1,6.4,5.9,7.2,4.5,4.3,4.9,6.8,8,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,4.6,8.6,5.6,3.7,3.6
Maine,ME,3.4,3.8,4.3,5,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4,2.9,5.1,4.6,3,2.4
Maryland,MD,3.6,4,4.4,4.4,4.3,4.1,3.9,3.5,4.2,7,7.7,7.2,7,6.6,5.8,5.1,4.5,4.3,3.9,3.4,6.5,5.3,3.2,2.4
Massachusetts,MA,2.7,3.7,5.3,5.7,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,3.8,3.3,3,9.4,5.5,3.8,2.8
Michigan,MI,3.6,5.2,6.3,7.2,7,6.8,7,7,8,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5,4.6,4.1,4.1,10,5.8,4.2,3.7
Minnesota,MN,3.2,3.8,4.5,4.9,4.7,4.1,4,4.6,5.4,7.8,7.4,6.5,5.6,5,4.2,3.7,3.9,3.4,2.9,3.3,6.3,3.8,2.7,2.9
Mississippi,MS,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10,9,8.5,7.5,6.4,5.8,5.1,4.8,5.5,8,5.5,3.9,3.2
Missouri,MO,3.6,4.6,5.4,5.6,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5,4.6,3.8,3.2,3.2,6.1,4.1,2.5,2.5
Montana,MT,5,4.5,4.4,4.7,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,6,5.4,4.7,4.2,4.1,3.9,3.7,3.5,5.8,3.5,2.6,2.3
Nebraska,NE,2.8,3.1,3.6,3.9,3.9,3.8,3.1,3,3.3,4.6,4.6,4.4,4,3.8,3.3,3,3.1,2.9,2.8,3.1,4.3,2.7,2.3,1.9
Nevada,NV,4.2,5.2,5.6,5.1,4.3,4.1,4,4.5,6.7,11.3,13.5,13,11.2,9.6,7.9,6.8,5.7,5.1,4.6,4.5,13.5,6.9,5.4,5.4
New Hampshire,NH,2.7,3.4,4.5,4.3,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7,2.5,2.6,6.7,3.4,2.5,1.9
New Jersey,NJ,3.7,4.3,5.8,5.8,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5,4.6,4.1,3.5,9.4,6.6,3.7,3.6
New Mexico,NM,4.9,4.9,5.5,5.9,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.6,5.9,4.9,5,7.9,7.1,4,3.5
New York,NY,4.5,4.8,6.1,6.4,5.8,5,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1,3.9,9.8,7,4.3,3.9
North Carolina,NC,3.7,5.5,6.6,6.4,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,9.3,8,6.3,5.7,5.1,4.5,3.9,3.9,7.2,4.9,3.7,3.4
North Dakota,ND,3,2.9,3.7,3.7,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.7,2.6,2.2,5,3.1,2.1,2.1
Ohio,OH,4,4.3,5.7,6.2,6.3,5.9,5.4,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,5,5,4.6,4.2,8.2,5.1,4,2.6
Oklahoma,OK,3,3.7,4.7,5.5,4.9,4.5,4,4.1,3.7,6.4,6.8,5.9,5.2,5.3,4.5,4.4,4.8,4.2,3.4,3.1,6.3,4,3,2.8
Oregon,OR,5.1,6.4,7.5,8.1,7.3,6.2,5.3,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.6,4.8,4.1,4.2,3.7,7.6,5.2,4.2,3.7
Pennsylvania,PA,4.1,4.8,5.6,5.7,5.4,5,4.6,4.4,5.3,8,8.5,7.9,7.8,7.4,5.9,5.3,5.4,4.9,4.3,4.3,8.9,6,4.4,4
Rhode Island,RI,4.1,4.6,5,5.3,5.2,5,4.9,5.2,7.8,11,11.2,11,10.4,9.3,7.7,6,5.2,4.4,4.1,3.5,9.2,5.5,3.2,3
South Carolina,SC,3.8,5.2,5.8,6.9,6.8,6.7,6.4,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6,5,4.3,3.4,2.8,6,3.9,3.2,3.1
South Dakota,SD,2.5,3.1,3.2,3.5,3.7,3.8,3.1,2.8,3.1,4.9,5,4.7,4.3,3.8,3.4,3.1,3,3.2,3,2.8,4.2,2.6,2.1,1.9
Tennessee,TN,3.9,4.6,5.2,5.6,5.3,5.6,5.2,4.7,6.6,10.5,9.7,9,7.8,7.8,6.6,5.6,4.7,3.8,3.5,3.3,7.5,4.5,3.4,3.3
Texas,TX,4.3,5,6.4,6.7,5.9,5.4,4.9,4.3,4.8,7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,3.9,3.5,7.7,5.6,3.9,4.1
Utah,UT,3.3,4.4,5.8,5.6,5,4.1,3,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.3,3.1,2.5,4.8,2.7,2.3,2.3
Vermont,VT,2.8,3.3,4,4.3,3.7,3.5,3.7,4,4.7,6.6,6.1,5.5,5,4.4,3.9,3.6,3.2,3,2.7,2.1,5.7,3.7,2.6,2.1
Virginia,VA,2.3,3.2,4.2,4.1,3.8,3.6,3.1,3,3.9,6.7,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.7,3,2.8,6.5,3.9,2.9,2.9
Washington,WA,5.2,6.3,7.4,7.4,6.3,5.6,5,4.7,5.4,9.2,10,9.3,8.1,7,6.1,5.6,5.3,4.7,4.5,4.2,8.5,5.2,4.2,4.1
West Virginia,WV,5.5,5,5.9,6,5.3,5.1,4.9,4.6,4.3,7.7,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2,5.3,5,8.2,5.1,3.9,3.3
Wisconsin,WI,3.5,4.5,5.4,5.7,5,4.7,4.7,4.9,4.9,8.6,8.7,7.8,7,6.7,5.4,4.6,4,3.3,3,3.2,6.4,3.8,2.9,2.4
Wyoming,WY,3.9,3.8,4,4.3,3.8,3.6,3.2,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2,4.1,3.7,5.9,4.6,3.6,3.3
